user_message,intent,response
Is payment required to book?,policy,"No. Reservation is free—no payment at booking. You can pay at check-in if needed."
Where is Aurora?,location,"Aurora is our hotel name. For the exact address and directions, please check our website or contact the front desk."
What time is check in?,policy,"Standard check-in is usually in the afternoon and check-out in the late morning. Please see your confirmation or contact the front desk for exact times."
Can I check in early?,policy,"Early check-in depends on availability. Please contact the front desk on the day of arrival to see if an early check-in is possible."
Can I check out late?,policy,"Late check-out is subject to availability and may include a fee. Contact the front desk during your stay to request a late check-out."
Do you have parking?,amenities,"Parking availability can vary. Please check our website or contact the front desk to confirm on-site parking or nearby options."
Is breakfast included?,amenities,"Some room packages include breakfast and others do not. Please see your booking details or contact the front desk to confirm."
Do you have a pool?,amenities,"Amenities such as pool or spa may vary. For the most accurate list of facilities, please check the Rooms and Amenities information on our website."
Are pets allowed?,policy,"Pet policies vary by hotel. Please check our website or contact the front desk to confirm if pets are allowed and any related fees."
Is the hotel kid friendly?,policy,"Families are welcome. For questions about extra beds, cribs, or connecting rooms, please contact the front desk with your dates and number of guests."
Is there room service?,amenities,"Room service availability depends on the property. Please review the amenities on the Rooms page or contact the front desk to confirm."
Is the area safe?,policy,"We take guest safety seriously. For information about security and the local area, please contact the front desk or review the details on our website."
Can I change my dates?,reservation,"To change stay dates, please contact the front desk or use the contact details on our website so we can check availability."
Can I extend my stay?,reservation,"Extending your stay depends on availability. Contact the front desk or use our contact details and we will check extra nights for you."
Can I pay with card?,policy,"Most hotels accept major credit or debit cards. For accepted payment methods at Aurora, please see your confirmation or contact the front desk."
Do you offer refunds?,policy,"Refunds and cancellation fees depend on your reservation policy. Please review your confirmation email or contact the front desk for details."
Is airport pickup available?,amenities,"Transport arrangements, such as airport pickup, may be available on request. Please contact the front desk with your arrival details."
