user_message,intent,response
cheapest room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
budget room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
magkano deluxe,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
deluxe price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
suite price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
cheap room option,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
rooom price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
prce room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hm room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
magkano per night,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
price ng room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
what amenities,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
may pool ba,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
do you have pool,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pool details,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
is pool free,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
gym available,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
do you have gym,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
restaurant available,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
may wifi ba,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
wifi details,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
facilities list,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
amenities list,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
parking available,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
how do i reserve,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
how to book,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
paano mag reserve,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
can i book now,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
book tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
reserve room,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
booking steps,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
reserve tomorrow,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
reserve room now,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
help booking,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede mag book,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
book room,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
recommend room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
suggest room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
best room for couple,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
room for family,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
room for 4 guests,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
cheap room suggestion,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
recommend under budget,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
room suggestion please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
suggest best room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
recommend good room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
check in time,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
check out time,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
can i check in early,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
late checkout,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pet policy,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
kids allowed,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
extra bed request,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
balcony request,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
room preference,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
hotel policy,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
where is aurora,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hotel location,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
address,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
near airport,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
distance city,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
how to get there,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
map location,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
location of hotel,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
i dont understand,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
explain again,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
ano ibig sabihin,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
tell me more,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
random question,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
what if aliens visit,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
do you like pizza,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
blah blah,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
something random,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please book tonight tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
aurora best room for couple tonight,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
please hello ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please parking available,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls what rooms do you have today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
balcony request,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please how to book ngayon,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hello aurora room preference tomorrow,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
can you hotel policy,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
hello aurora price ng room please,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
can i check in early please,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
yo aurora ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey aurora do you have gym,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls what amenities,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hey aurora list rooms available today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
available rooms,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
tell me more tonight,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pls paano mag reserve,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
gym available po,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede rooom price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde suite price lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pwede room typess lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora reserve tomorrow po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hey aurora good day po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
room typess tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora how to get there tomorrow,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
aurora facilities list lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
best room for couple ngayon,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
please room price tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
please kumusta,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
distance city tonight,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hello aurora room preference today,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pool details ngayon,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
can you best room for couple pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pls something random tomorrow,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
hotel location pls,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hey aurora cheap room suggestion pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pls best room for couple pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you good day,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
can you may rooms ba kayo ngayon,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
please hotel policy tonight,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde list rooms available today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora parking available tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde hotel location tonight,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
please may cabin ba,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you list rooms available lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hi today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora good morning po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde tell me room options lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you hello po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey aurora pool details today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls room suggestion please ngayon,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you room types po,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
budget room lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
can you parking available today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
room list please,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls ano ibig sabihin lang,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pls reserve room now please,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
can you cheapest room tonight,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
room preference pls,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pwede gym available today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please what rooms do you have,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
please check in time today,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pwede good morning ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
aurora room for family today,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
what amenities tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede gym available ngayon,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please restaurant available pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls room for 4 guests ngayon,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you hotel policy tonight,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
check out time lang,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please do you have suite,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora suggest room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you how to book tomorrow,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede reserve room tomorrow,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pde rooom types po,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora hello po po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora may villa ba today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
please cheapest room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hey aurora what amenities ngayon,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please hey aurora today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hotel location pls,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hi aurora,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
best room for couple tonight,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
show me rooms lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
good day pls,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde available rooms tonight,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls tell me room options please,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you do you have suite po,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora prce room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
what amenities today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede room for 4 guests,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you cheapest room pls,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
please hello po tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora i dont understand please,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please may wifi ba,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
can you hi assistant today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde what amenities,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please hi aurora pls,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
extra bed request po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde something random today,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
hey aurora kumusta today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde help booking lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pls blah blah pls,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please may cabin ba,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
reserve tomorrow lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pls explain again ngayon,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pls map location lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
aurora near airport today,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
aurora room for 4 guests tonight,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hey aurora do you have suite tonight,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
may wifi ba tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
can you reserve tomorrow lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pde what rooms do you have,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora may villa ba please,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
how to book po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
please pet policy,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde blah blah please,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please best room for couple ngayon,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pls something random please,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
recommend good room ngayon,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you pwede mag book,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
room price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pwede how to book today,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
please cheap room option tonight,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hi aurora today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
can you parking available,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede may cabin ba please,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora good morning please,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
can you pwede mag book lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
can you blah blah please,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
can you hotel policy,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde wifi details tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
how to get there lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pls may wifi ba tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
aurora gym available po,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
can you kids allowed ngayon,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde recommend under budget ngayon,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hey aurora pet policy lang,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
hey aurora recommend good room lang,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pde book room,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
can you gym available po,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls can i check in early po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pls budget room lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
cheapest room lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hello aurora magkano deluxe,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
available rooms today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hey aurora amenities list please,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
ano ibig sabihin ngayon,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please paano mag reserve ngayon,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hello aurora random question,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
hey aurora address ngayon,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hm room po,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pwede magkano room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
book room ngayon,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
aurora do you have gym lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde do you like pizza pls,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
what rooms do you have,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you random question lang,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
extra bed request tomorrow,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pwede room typess today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hello aurora balcony request please,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
hey aurora do you have suite tonight,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you hello po ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde best room for couple,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
may cabin ba tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hello aurora address today,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
help booking po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hello aurora reserve tomorrow tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
please rooom types,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls price ng room pls,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
please what rooms do you have ngayon,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you late checkout today,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
reserve room now po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hello aurora room price lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hi aurora tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
aurora pwede mag book today,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pls price ng room today,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
aurora what if aliens visit please,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
can you show me rooms ngayon,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
